id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
Mn2Se2-1bb6292d4c42,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,14.47923,2,1
Sc2Te2-1fd55e3ae6ef,1,36.5,15.5,36.5,0.707,0.63,9.5,13,9.5,4.5,0.5,4.5,4.5,1.5,4.5,1.73,0.37,1.73,0.693,18.71592,2,1
Te2Ti2-b3dbe81af5e4,2,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,15.35205,2,1
Co2O2-1d38491dedcb,7,17.5,9.5,17.5,0.707,0.63,12.5,7,12.5,3,1,3,7.5,1.5,7.5,2.66,0.78,2.66,0.693,14.65797,2,1
Fe2O2-0dfcae2145e2,6,17,9,17,0.707,0.63,12,8,12,3,1,3,7,1,7,2.635,0.805,2.635,0.693,15.87647,2,1
Mn2S2-dd709d3fb25c,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,15.36972,2,1
Ni2O2-928c7a5db4e0,8,18,10,18,0.707,0.63,13,6,13,3,1,3,8,2,8,2.675,0.765,2.675,0.693,14.87918,2,1
S2Ta2-10321bd326e0,3,44.5,28.5,44.5,0.707,0.63,10.5,11,10.5,4.5,1.5,4.5,5.5,0.5,5.5,2.04,0.54,2.04,0.693,8.95436,2,1
CrI2-53a7a202e7c7,5,43.333,12.889,53,0.745,0.693,13.333,9.778,17,4.667,0.444,5,6.667,0.444,7,2.327,0.444,2.66,0.637,17.61139,1,1
NiO2-bf74fd911c7f,8,14.667,8.889,8,0.745,0.693,14,5.333,16,2.667,0.889,2,7.333,1.778,6,2.93,0.68,3.44,0.637,10.23721,1,1
TiF2-6c7d20ac3a5d,2,13.333,5.778,9,0.745,0.693,12.667,11.556,17,2.667,0.889,2,6,1.333,7,3.167,1.084,3.98,0.637,7.47156,1,1
WF2-b78aa9aac7bf,4,30.667,28.889,9,0.745,0.693,13.333,9.778,17,3.333,1.778,2,6.667,0.444,7,3.44,0.72,3.98,0.637,7.25631,1,1
YI2-96529d028a81,1,48.333,6.222,53,0.745,0.693,12.333,12.444,17,5,0,5,5.667,1.778,7,2.18,0.64,2.66,0.637,17.24543,1,1
Cl2In2-9669b3269d2d,0,33,16,33,0.707,0.63,15,4,15,4,1,4,5,2,5,2.47,0.69,2.47,0.693,36.51333,2,-1
CCr2O2-98620a086831,5,14,8,24,0.6,0.514,11.6,8.96,6,2.8,0.96,4,5.6,0.64,6,2.55,0.712,1.66,1.055,7.32127,2,1
CCr2H2O2-a9639b4177bd,5,10.286,7.837,24,0.515,0.418,8.571,11.592,6,2.286,0.98,4,4.286,1.959,6,2.45,0.594,1.66,1.352,8.16531,2,1
N2Ti3-ab9592f73c20,2,16,7.2,22,0.721,0.654,8.4,10.56,4,3.2,0.96,4,4.4,0.48,4,2.14,0.72,1.54,0.673,7.86604,3,1
C3Ti4-04daf1fce55d,2,15.143,7.837,22,0.714,0.643,8.286,9.796,4,3.143,0.98,4,4,0,4,1.973,0.495,1.54,0.683,8.30883,4,1
Mn2P2Se6-f07faeea33bc,5,28.4,6.72,34,0.663,0.614,14,5.6,16,3.8,0.32,4,6,0.4,6,2.278,0.326,2.55,0.95,34.72602,2,1
Ni2P2Se6-48b9c60401e4,8,29,6,34,0.663,0.614,14.6,3.68,16,3.8,0.32,4,6.6,1.36,6,2.35,0.24,2.55,0.95,33.12221,2,1
P2Ti2Se6-193774fc9672,2,27.8,7.44,34,0.663,0.614,13.4,7.52,16,3.8,0.32,4,5.4,0.72,6,2.276,0.329,2.55,0.95,35.10393,2,1
P2V2Te6-acfe0a7a20a8,3,38.8,15.84,52,0.663,0.614,13.6,6.88,16,4.4,0.72,5,5.6,0.48,6,2.024,0.158,2.1,0.95,40.25471,2,1
AgCl2-cd8d815e268d,10,27,13.333,17,0.745,0.693,15,5.333,17,3.667,0.889,3,8.333,1.778,7,2.75,0.547,3.16,0.637,12.91839,1,1
CoBr2-02049cf3cf55,7,32.333,3.556,35,0.745,0.693,14.333,7.111,17,4,0,4,7.667,0.889,7,2.6,0.48,2.96,0.637,12.06214,1,1
CrCl2-75741b4ecfee,5,19.333,3.111,17,0.745,0.693,13.333,9.778,17,3.333,0.444,3,6.667,0.444,7,2.66,0.667,3.16,0.637,10.61833,1,1
MnI2-2b7cf85310ef,5,43.667,12.444,53,0.745,0.693,13.667,8.889,17,4.667,0.444,5,7,0,7,2.29,0.493,2.66,0.637,14.10608,1,1
RhCl2-b534c03ba4d7,8,26.333,12.444,17,0.745,0.693,14.333,7.111,17,3.667,0.889,3,7.667,0.889,7,2.867,0.391,3.16,0.637,10.93949,1,1
ScBr2-78039e746a9a,1,30.333,6.222,35,0.745,0.693,12.333,12.444,17,4,0,4,5.667,1.778,7,2.427,0.711,2.96,0.637,11.82046,1,1
Cu2Cl6-28fbb0f1e271,10,20,4.5,17,0.791,0.759,15.5,4.5,17,3.25,0.375,3,8,1.5,7,2.845,0.473,3.16,0.562,32.2972,2,1
Mn2Br6-6072787c6e03,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,37.36076,2,1
Ni2Br6-8de805a9c52e,8,33.25,2.625,35,0.791,0.759,15.25,5.25,17,4,0,4,7.75,1.125,7,2.697,0.394,2.96,0.562,34.81684,2,1
Pt2Cl6-20b975a3a1e8,9,32.25,22.875,17,0.791,0.759,15.25,5.25,17,3.75,1.125,3,7.75,1.125,7,2.94,0.33,3.16,0.562,35.63945,2,1
Co2Br6-c113c3b43383,7,33,3,35,0.791,0.759,15,6,17,4,0,4,7.5,0.75,7,2.69,0.405,2.96,0.562,40.03924,2,1
Cu2Br6-52732688def7,10,33.5,2.25,35,0.791,0.759,15.5,4.5,17,4,0,4,8,1.5,7,2.695,0.398,2.96,0.562,40.16759,2,1
Pd2Br6-72df9411c38a,10,37.75,4.125,35,0.791,0.759,15.25,5.25,17,4.25,0.375,4,7.75,1.125,7,2.77,0.285,2.96,0.562,42.62859,2,1
NbSTe-102587cb1e02,4,36.333,13.556,36.333,0.577,0.481,12.333,9.778,12.333,4.333,0.889,4.333,5.667,0.444,5.667,2.093,0.329,2.093,1.099,10.76537,1,1
BrIV-8ab29fed1d66,3,37,10.667,37,0.577,0.481,13,10.667,13,4.333,0.444,4.333,6.333,0.889,6.333,2.417,0.524,2.417,1.099,12.66132,1,1
V2S4-e3d2c0b7ce7a,3,18.333,3.111,16,0.745,0.693,12.333,9.778,16,3.333,0.444,3,5.667,0.444,6,2.263,0.422,2.58,0.637,35.21145,2,1
CoO2-3efceb46b900,7,14.333,8.444,8,0.745,0.693,13.667,6.222,16,2.667,0.889,2,7,1.333,6,2.92,0.693,3.44,0.637,6.90272,1,1
MnSe2-f3b9f9bddf25,5,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,10.57363,1,1
NbO2-d28ff38d2cac,4,19,14.667,8,0.745,0.693,12.333,9.778,16,3,1.333,2,5.667,0.444,6,2.827,0.818,3.44,0.637,8.3979,1,1
NiO2-f5d3b7b5a32b,8,14.667,8.889,8,0.745,0.693,14,5.333,16,2.667,0.889,2,7.333,1.778,6,2.93,0.68,3.44,0.637,6.76626,1,1
ScSe2-b94c70080d61,1,29.667,5.778,34,0.745,0.693,11.667,11.556,16,4,0,4,5,1.333,6,2.153,0.529,2.55,0.637,13.48056,1,1
TaO2-6f317c3f1c7a,3,29.667,28.889,8,0.745,0.693,12.333,9.778,16,3.333,1.778,2,5.667,0.444,6,2.793,0.862,3.44,0.637,7.66127,1,1
VTe2-0ad30b11e722,3,42.333,12.889,52,0.745,0.693,12.333,9.778,16,4.667,0.444,5,5.667,0.444,6,1.943,0.209,2.1,0.637,11.22276,1,1
Br2Cr2Se2-1e7e654fbccd,5,31,4.667,31,0.577,0.481,13,9.333,13,4,0,4,6.333,0.444,6.333,2.39,0.487,2.39,1.099,18.32596,2,1
Cr2I2O2-19903e43bd98,5,28.333,16.444,28.333,0.577,0.481,13,9.333,13,3.667,1.111,3.667,6.333,0.444,6.333,2.587,0.618,2.587,1.099,13.66681,2,1
Br2Fe2O2-71e19b5b951e,6,23,10,23,0.577,0.481,13.667,7.556,13.667,3.333,0.889,3.333,7,0.667,7,2.743,0.609,2.743,1.099,12.20341,2,1
Cl2Mn2O2-d1a6028c713a,5,16.667,5.778,16.667,0.577,0.481,13.333,8.444,13.333,3,0.667,3,6.667,0.444,6.667,2.717,0.778,2.717,1.099,12.87706,2,1
I2Mn2Se2-f4c00afc66e6,5,37.333,10.444,37.333,0.577,0.481,13.333,8.444,13.333,4.333,0.444,4.333,6.667,0.444,6.667,2.253,0.469,2.253,1.099,19.59033,2,1
I2Mo2N2-cb03c284bda8,5,34,18,34,0.577,0.481,12.667,8.889,12.667,4,1.333,4,6,0.667,6,2.62,0.307,2.62,1.099,14.14729,2,1
Cl2Se2V2-418269303339,3,24.667,6.222,24.667,0.577,0.481,12.667,10.222,12.667,3.667,0.444,3.667,6,0.667,6,2.447,0.544,2.447,1.099,17.59665,2,1
Mn2S2-e2842896ff69,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,11.26681,2,1
S2Ta2-29c9b74a40e0,3,44.5,28.5,44.5,0.707,0.63,10.5,11,10.5,4.5,1.5,4.5,5.5,0.5,5.5,2.04,0.54,2.04,0.693,8.88225,2,1
S2Zr2-23924b3c18e9,2,28,12,28,0.707,0.63,10,12,10,4,1,4,5,1,5,1.955,0.625,1.955,0.693,11.04866,2,1
RhH2O2-44bcea466c91,8,12.6,12.96,1,0.6,0.514,8.6,12.16,1,2.2,1.12,1,4.6,2.88,1,2.712,0.582,2.2,1.055,10.40711,1,1
Cs2F2-fd11b1cd0dc1,0,32,23,32,0.707,0.63,9,16,9,4,2,4,4,3,4,2.385,1.595,2.385,0.693,33.33079,2,-1
Sc2Te2-c35526cfcbab,1,36.5,15.5,36.5,0.707,0.63,9.5,13,9.5,4.5,0.5,4.5,4.5,1.5,4.5,1.73,0.37,1.73,0.693,23.63529,2,-1
O2Ta2-857d4f03ddfc,3,40.5,32.5,40.5,0.707,0.63,10.5,11,10.5,4,2,4,5.5,0.5,5.5,2.47,0.97,2.47,0.693,13.96214,2,-1
Te2Ti2-f1e1795012a8,2,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,18.24162,2,-1
O2W2-f3abdf25377d,4,41,33,41,0.707,0.63,11,10,11,4,2,4,6,0,6,2.9,0.54,2.9,0.693,12.81421,2,-1
Al2Te2-1584210aaef9,0,32.5,19.5,32.5,0.707,0.63,14.5,3,14.5,4,1,4,4.5,1.5,4.5,1.855,0.245,1.855,0.693,14.78743,2,-1
Hg2S2-e805fd2216c9,10,48,32,48,0.707,0.63,14,4,14,4.5,1.5,4.5,4,2,4,2.29,0.29,2.29,0.693,15.89858,2,-1
Mn2Te6-7a5019fc3624,5,45.25,10.125,52,0.791,0.759,13.75,6.75,16,4.75,0.375,5,6.25,0.375,6,1.963,0.206,2.1,0.562,22.34623,2,1
Pt2O6-0008df9b5ac7,9,25.5,26.25,8,0.791,0.759,14.5,4.5,16,3,1.5,2,7,1.5,6,3.15,0.435,3.44,0.562,18.33947,2,1
Mn2Se4-47943bd9c080,5,31,4,34,0.745,0.693,13,8,16,4,0,4,6.333,0.444,6,2.217,0.444,2.55,0.637,18.62658,2,1
Br4Se4Ti4-073c9eb8c253,2,30.333,5.556,30.333,0.577,0.481,12.333,11.111,12.333,4,0,4,5.667,1.111,5.667,2.35,0.54,2.35,1.099,42.79309,4,1
Cl4S4Zr4-df12602a0e6d,2,24.333,10.444,24.333,0.577,0.481,12.333,11.111,12.333,3.667,0.889,3.667,5.667,1.111,5.667,2.357,0.684,2.357,1.099,43.16215,4,1
Cr2O2-6e110313a3f8,5,16,8,16,0.707,0.63,11,10,11,3,1,3,6,0,6,2.55,0.89,2.55,0.693,15.00467,2,1
Hf2O2-a65f8b8e381c,2,40,32,40,0.707,0.63,10,12,10,4,2,4,5,1,5,2.37,1.07,2.37,0.693,17.94581,2,1
Mn2Se2-4e18fc666b1d,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,13.32793,2,1
BrITi-c9d532173771,2,36.667,10.889,36.667,0.577,0.481,12.667,11.556,12.667,4.333,0.444,4.333,6,1.333,6,2.387,0.564,2.387,1.099,13.27952,1,1
SSeV-18612ec43eba,3,24.333,6.444,24.333,0.577,0.481,12.333,9.778,12.333,3.667,0.444,3.667,5.667,0.444,5.667,2.253,0.416,2.253,1.099,9.30995,1,1
Cl2Cr2-64bab234751e,5,20.5,3.5,20.5,0.707,0.63,11.5,11,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.41,0.75,2.41,0.693,12.72845,2,1
Mn2Te2-a8f2bf3f56aa,5,38.5,13.5,38.5,0.707,0.63,11.5,9,11.5,4.5,0.5,4.5,6.5,0.5,6.5,1.825,0.275,1.825,0.693,15.91588,2,1
F2Rh2-ec547843e055,8,27,18,27,0.707,0.63,13,8,13,3.5,1.5,3.5,8,1,8,3.13,0.85,3.13,0.693,7.33271,2,1
Co2S2-0e8084b6b1d7,7,21.5,5.5,21.5,0.707,0.63,12.5,7,12.5,3.5,0.5,3.5,7.5,1.5,7.5,2.23,0.35,2.23,0.693,13.24122,2,1
Cr2O2-858f02048d1c,5,16,8,16,0.707,0.63,11,10,11,3,1,3,6,0,6,2.55,0.89,2.55,0.693,15.72661,2,1
Mn2S2-de56bdbee9ba,5,20.5,4.5,20.5,0.707,0.63,11.5,9,11.5,3.5,0.5,3.5,6.5,0.5,6.5,2.065,0.515,2.065,0.693,12.50328,2,1
F2Rh2-2b7c18bd8cd8,8,27,18,27,0.707,0.63,13,8,13,3.5,1.5,3.5,8,1,8,3.13,0.85,3.13,0.693,12.64863,2,1
S2V2-0faeeec6440a,3,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,13.23127,2,1
BiI2-b6ca2c91eff5,10,63,13.333,53,0.745,0.693,16.333,1.778,17,5.333,0.444,5,6.333,0.889,7,2.447,0.284,2.66,0.637,16.74384,1,1
CoBr2-807b6a88f950,7,32.333,3.556,35,0.745,0.693,14.333,7.111,17,4,0,4,7.667,0.889,7,2.6,0.48,2.96,0.637,15.05619,1,1
CrO2-aa2856f95afa,5,13.333,7.111,8,0.745,0.693,12.667,8.889,16,2.667,0.889,2,6,0,6,2.847,0.791,3.44,0.637,9.53223,1,1
F2Hf2-05a7b11032cf,2,40.5,31.5,40.5,0.707,0.63,10.5,13,10.5,4,2,4,5.5,1.5,5.5,2.64,1.34,2.64,0.693,15.33782,2,-1
ScBr2-7669f53ab864,1,30.333,6.222,35,0.745,0.693,12.333,12.444,17,4,0,4,5.667,1.778,7,2.427,0.711,2.96,0.637,14.7911,1,1
YS2-133aaf20a1ca,1,23.667,10.222,16,0.745,0.693,11.667,11.556,16,3.667,0.889,3,5,1.333,6,2.127,0.604,2.58,0.637,18.27425,1,1
CCr2H2O2-c58bc81037b7,5,10.286,7.837,24,0.515,0.418,8.571,11.592,6,2.286,0.98,4,4.286,1.959,6,2.45,0.594,1.66,1.352,8.02314,2,1
C2Ti3-72f949cd1679,2,15.6,7.68,22,0.721,0.654,8,9.6,4,3.2,0.96,4,4,0,4,1.944,0.485,1.54,0.673,8.3155,3,1
Ni2P2Se6-9cdd5e072a05,8,29,6,34,0.663,0.614,14.6,3.68,16,3.8,0.32,4,6.6,1.36,6,2.35,0.24,2.55,0.95,33.16556,2,1
P2Ti2Se6-01f1f67bb7e4,2,27.8,7.44,34,0.663,0.614,13.4,7.52,16,3.8,0.32,4,5.4,0.72,6,2.276,0.329,2.55,0.95,34.83414,2,1
BiI2-a000539092c6,10,63,13.333,53,0.745,0.693,16.333,1.778,17,5.333,0.444,5,6.333,0.889,7,2.447,0.284,2.66,0.637,14.55464,1,1
CoCl2-cb7655063dfe,7,20.333,4.444,17,0.745,0.693,14.333,7.111,17,3.333,0.444,3,7.667,0.889,7,2.733,0.569,3.16,0.637,10.83555,1,1
TiI2-d49f2853b897,2,42.667,13.778,53,0.745,0.693,12.667,11.556,17,4.667,0.444,5,6,1.333,7,2.287,0.498,2.66,0.637,14.4399,1,1
CrI2-524181a3ac86,5,43.333,12.889,53,0.745,0.693,13.333,9.778,17,4.667,0.444,5,6.667,0.444,7,2.327,0.444,2.66,0.637,13.65696,1,1
ScCl2-945f3bbaeedc,1,18.333,1.778,17,0.745,0.693,12.333,12.444,17,3.333,0.444,3,5.667,1.778,7,2.56,0.8,3.16,0.637,10.71918,1,1
YBr2-32aac6e20434,1,36.333,1.778,35,0.745,0.693,12.333,12.444,17,4.333,0.444,4,5.667,1.778,7,2.38,0.773,2.96,0.637,12.94694,1,1
Ag2Br6-751bf21cd722,10,38,4.5,35,0.791,0.759,15.5,4.5,17,4.25,0.375,4,8,1.5,7,2.702,0.386,2.96,0.562,40.24112,2,1
Hf2Cl6-55df638549b1,2,30.75,20.625,17,0.791,0.759,13.75,9.75,17,3.75,1.125,3,6.25,1.125,7,2.695,0.698,3.16,0.562,32.92438,2,1
Mn2Br6-6f33dda6bf52,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,37.51795,2,1
Ni2Br6-981a39e4f968,8,33.25,2.625,35,0.791,0.759,15.25,5.25,17,4,0,4,7.75,1.125,7,2.697,0.394,2.96,0.562,34.73946,2,1
Pt2I6-262ec9b49ee4,9,59.25,9.375,53,0.791,0.759,15.25,5.25,17,5.25,0.375,5,7.75,1.125,7,2.565,0.143,2.66,0.562,44.06793,2,1
Zr2Br6-7f49d473708d,2,36.25,1.875,35,0.791,0.759,13.75,9.75,17,4.25,0.375,4,6.25,1.125,7,2.552,0.611,2.96,0.562,37.56141,2,1
Co2Br6-26f91951e231,7,33,3,35,0.791,0.759,15,6,17,4,0,4,7.5,0.75,7,2.69,0.405,2.96,0.562,39.42879,2,1
Mn2Br6-16e41bb393dd,5,32.5,3.75,35,0.791,0.759,14.5,7.5,17,4,0,4,7,0,7,2.607,0.529,2.96,0.562,41.68857,2,1
Nb2I6-cf9f47bac93f,4,50,4.5,53,0.791,0.759,14,9,17,5,0,5,6.5,0.75,7,2.395,0.398,2.66,0.562,39.90508,2,1
Ta2Br6-6d92dec6a7a6,3,44.5,14.25,35,0.791,0.759,14,9,17,4.5,0.75,4,6.5,0.75,7,2.595,0.548,2.96,0.562,32.53004,2,1
ClIV-b03bee311f9c,3,31,14.667,31,0.577,0.481,13,10.667,13,4,0.667,4,6.333,0.889,6.333,2.483,0.569,2.483,1.099,10.85122,1,1
Cr2S4-1ec9f017f2be,5,18.667,3.556,16,0.745,0.693,12.667,8.889,16,3.333,0.444,3,6,0,6,2.273,0.409,2.58,0.637,34.27149,2,1
V2Se4-5760463dd51d,3,30.333,4.889,34,0.745,0.693,12.333,9.778,16,4,0,4,5.667,0.444,6,2.243,0.409,2.55,0.637,40.04434,2,1
Co4Se8-c0a4830ea73d,7,31.667,3.111,34,0.745,0.693,13.667,6.222,16,4,0,4,7,1.333,6,2.327,0.298,2.55,0.637,39.22109,4,1
CoO2-d0f974240910,7,14.333,8.444,8,0.745,0.693,13.667,6.222,16,2.667,0.889,2,7,1.333,6,2.92,0.693,3.44,0.637,6.44904,1,1
CrSe2-5b4a37f6d47c,5,30.667,4.444,34,0.745,0.693,12.667,8.889,16,4,0,4,6,0,6,2.253,0.396,2.55,0.637,9.01756,1,1
